area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Built-up  Area,2,"Sarjapur Road, ",11609,5,,455030,7125,3,2,74
Super built-up  Area,2,Hoodi,11610,1,Hahtsde,395328,1228,3,2,76
Super built-up  Area,1,Kanakpura Road,11611,2,Soazak ,455391,8103,2,1,107
Built-up  Area,2,Sarjapur  Road,11612,5,Esatea ,448359,4769,2,2,70.44
Plot  Area,1,Hal old airport road,11613,1,,442996,9953,3,2,110
Plot  Area,1,Basavangudi,11614,2,,380577,6427,3,0,220
Super built-up  Area,1,Hosa Road,11615,2,Sosisic,413755,3253,3,1,103
Plot  Area,2,arudi,11616,1,,391696,7842,2,0,80
Super built-up  Area,2,Vittasandra,11617,1,Prlla C,395318,5189,2,1,67.5
Super built-up  Area,2,Ganga Nagar,11618,3,,381042,9346,1,1,65
Super built-up  Area,2,Dasarahalli,11619,4,Syonyph,361759,4874,2,2,62
Super built-up  Area,1,Yelahanka New Town,11620,4,,413801,4742,2,1,45
Super built-up  Area,2,Kaval Byrasandra,11621,3,,419990,2942,3,2,75
Super built-up  Area,1,Kasavanhalli,11622,2,Bhensa ,364052,9475,2,2,80
Super built-up  Area,1,Anantapuram,11623,4,GKiewke,455632,9972,2,1,63
Plot  Area,2,Nagavara,11624,5,,434291,5743,2,2,275
Built-up  Area,1,Gollarapalya Hosahalli,11625,5,Mauner ,408711,5761,2,2,36.5
Built-up  Area,1,Yelahanka New Town,11626,5,,410555,5961,2,1,44
Built-up  Area,2,Chikka Banaswadi,11627,3,SuntsAp,445488,2715,2,3,75
Super built-up  Area,1,Chandapura,11628,1,SunceEs,444361,1511,2,1,24.86
Super built-up  Area,1,Thanisandra,11629,2,Pronyt ,379616,4896,2,1,80
Built-up  Area,2,Electronics City Phase 1,11630,4,Raenti ,400797,3015,2,2,46
Super built-up  Area,1,Akshayanagara East,11631,2,HoDewy ,415161,5557,2,1,50
Super built-up  Area,1,Kammasandra,11632,5,,379897,4813,2,2,25.53
Super built-up  Area,1,Bommasandra,11633,3,SSestth,422328,6854,3,1,49.36
Super built-up  Area,1,HSR Layout,11634,3,PuontFa,427768,4576,2,2,135
Super built-up  Area,1,Horamavu Agara,11635,2,Suise S,432713,6278,2,2,39
Super built-up  Area,1,Electronic City Phase II,11636,3,Sryalan,394484,1294,2,1,38.12
Super built-up  Area,2,Green Glen Layout,11637,4,Solia D,401246,5760,3,2,105
Super built-up  Area,2,Whitefield,11638,4,Iseenst,380852,8618,2,3,62.15
Plot  Area,1,TC Palaya,11639,3,,415614,9447,2,0,66
Super built-up  Area,2,Malleshwaram,11640,3,Rintspa,377183,9253,2,,140
Super built-up  Area,1,Varthur,11641,1,Caiseur,412615,2770,3,2,90
Super built-up  Area,2,Whitefield,11642,1,,435065,6119,3,1,300
Super built-up  Area,2,Belatur,11643,2,Indanrt,392236,4387,2,2,59
Super built-up  Area,1,Ramanjaneyanagar,11644,1,,430791,9059,2,2,36.4
Super built-up  Area,2,Bellandur,11645,4,BhreeBa,368629,2320,3,2,115
Plot  Area,1,Chamrajpet,11646,2,,433648,9582,9,3,230
Plot  Area,2,Kaggalipura,11647,4,AxvamTa,382268,8361,5,1,212
Super built-up  Area,2,Karuna Nagar,11648,1,CoinoCu,448562,8419,3,2,165
Super built-up  Area,2,JP Nagar,11649,5,Brnumnn,418022,9969,5,3,309
Super built-up  Area,2,Yeshwanthpur,11650,2,Vatra N,402732,8405,2,2,100
Super built-up  Area,1,Yelahanka,11651,1,Neite T,407657,6161,2,0,53.105
Super built-up  Area,2,Hosakerehalli,11652,3,,361510,2112,5,2,145
Plot  Area,2,Ulsoor,11653,4,,452980,3840,3,1,70
Plot  Area,2,Sathya Sai Layout,11654,5,Prowshi,435966,1023,4,2,699
Super built-up  Area,1,Javarandoddi,11655,5,,395466,936,1,1,40
Super built-up  Area,1,Sarjapur  Road,11656,5,Supleon,387739,8967,3,2,130
Super built-up  Area,1,Thanisandra main road,11657,5,,364159,5920,4,2,602
Super built-up  Area,1,Kudlu,11658,5,Srrnasa,407288,2897,2,1,44
Plot  Area,1,Whitefield,11659,2,Leuseut,448041,9976,4,3,250
Super built-up  Area,1,Bommasandra,11660,2,SSestth,444539,7198,3,1,52.82
Super built-up  Area,2,Yelahanka New Town,11661,3,KHatsFl,426095,2661,1,1,18
Plot  Area,2,Chandapura,11662,5,,385021,8578,2,1,52
Super built-up  Area,2,Cooke Town,11663,2,,377615,5006,2,3,90
Built-up  Area,2,7th Phase JP Nagar,11664,1,LencyRe,398022,9553,2,1,57
Super built-up  Area,2,Banashankari,11665,3,SuentAp,427994,4315,2,1,63
Super built-up  Area,1,Akshya Nagar,11666,5,,431348,8425,2,1,58
Super built-up  Area,2,Kammasandra,11667,4,Daden G,381096,4199,3,2,65
Plot  Area,1,Vijaypura,11668,5,,398355,2301,5,1,150
Plot  Area,1,Bapuji Nagar,11669,3,,441409,1068,3,2,126
Super built-up  Area,2,Vittasandra,11670,3,Prlla C,412501,4658,2,1,67.5
Super built-up  Area,2,Bhoganhalli,11671,2,Rosha I,409369,2100,3,2,90.2
Super built-up  Area,2,Bisuvanahalli,11672,4,Prityel,403548,559,2,1,32
Super built-up  Area,2,Chennammana Kere,11673,1,,416600,9065,3,1,75.48
Super built-up  Area,2,Austin Town,11674,1,,402497,8272,1,1,13
Plot  Area,1,3rd Block Banashankari,11675,1,,440827,2956,4,1,325
Plot  Area,1,Kaikondrahalli,11676,3,,418742,6800,4,2,125
Super built-up  Area,1,Kanakpura Road,11677,2,,363152,7316,2,1,36.44
Super built-up  Area,1,Doddanekundi,11678,1,,446573,592,2,2,48.4
Super built-up  Area,2,Hosur Road,11679,4,Kelmsoy,374386,9609,3,1,90
Super built-up  Area,2,Guddadahalli,11680,5,KSidems,411754,8063,2,2,65
Built-up  Area,1,Ejipura,11681,5,BadorSp,365764,5737,2,1,60
Super built-up  Area,2,Mangammanapalya,11682,2,,433665,8831,3,2,39.5
Super built-up  Area,1,Kanakpura Road,11683,4,PrarePa,417557,5173,2,1,41
Built-up  Area,2,Chelekare,11684,4,BhisePa,445631,7751,2,1,45
Built-up  Area,2,Yelahanka New Town,11685,4,,387115,9816,2,2,80
Plot  Area,1,2nd Stage Nagarbhavi,11686,3,,442599,4620,3,2,82
Super built-up  Area,1,Vittasandra,11687,2,Prlla C,434563,2634,2,1,70
Super built-up  Area,1,Ramagondanahalli,11688,1,DNeremo,459560,1264,2,2,115
Super built-up  Area,2,Varthur,11689,4,Unris E,367716,3098,2,1,85
Super built-up  Area,2,Amam Enclave Layout,11690,4,,393628,6825,2,1,55
Built-up  Area,1,Kashi Nagar,11691,3,Adarkya,394629,2903,2,2,42
Built-up  Area,2,Kudlu,11692,1,,436914,2563,2,1,46
Super built-up  Area,1,Rajaji Nagar,11693,5,PhestOn,434969,7242,3,2,399
Super built-up  Area,1,Gunjur,11694,5,BMineis,397276,8879,2,2,44.5
Super built-up  Area,2,Nanjappa Garden,11695,5,TNnumla,441846,648,2,3,55
Built-up  Area,1,Victoria Layout,11696,4,,427489,4546,2,1,115
Super built-up  Area,1,Harlur,11697,3,Prncyrn,431047,9677,2,1,76
Super built-up  Area,1,Begur Road,11698,5,Pruthg ,415886,8393,1,1,32
Super built-up  Area,1,Bellandur,11699,5,,435000,2701,2,3,47
Super built-up  Area,1,Neeladri Nagar,11700,2,SKisyDa,418073,3820,2,2,30
Super built-up  Area,2,4th Phase JP Nagar,11701,5,,366593,9191,2,2,38
Super built-up  Area,1,Kudlu,11702,5,,380928,3936,3,1,114
Plot  Area,1,Kammanahalli,11703,3,,424219,7117,4,1,200
Super built-up  Area,2,NRI Layout,11704,5,,376423,3185,3,3,64.11
Super built-up  Area,2,Hormavu,11705,1,ARaveSa,371519,3396,2,1,55
Super built-up  Area,1,Choodasandra,11706,5,MJiyayl,450113,6987,3,2,78
Super built-up  Area,2,7th Phase JP Nagar,11707,4,Brnia G,421454,9672,1,2,47
Built-up  Area,2,Billekahalli,11708,3,Chuti S,434805,6490,2,2,90
Plot  Area,1,Ramamurthy Nagar,11709,2,,460432,8330,6,2,150
Super built-up  Area,2,Sarjapur  Road,11710,3,SJityaz,444061,6103,1,0,35.8
Plot  Area,1,Attibele,11711,2,,368727,2206,3,1,65
Super built-up  Area,1,HRBR Layout,11712,5,,398112,9710,2,2,68.5
Super built-up  Area,1,Ramamurthy Nagar,11713,3,,434570,6352,2,2,43.5
Super built-up  Area,2,Brookefield,11714,5,,446205,7818,3,2,74
Built-up  Area,1,Allalasandra,11715,3,Jaensa ,391411,5923,2,1,22
Super built-up  Area,2,Yelahanka New Town,11716,1,SLhidOr,424029,5296,2,2,61.5
Super built-up  Area,1,Green Glen Layout,11717,4,Sortz Q,405169,563,3,2,135
Super built-up  Area,1,Old Madras Road,11718,4,SheldGr,422768,808,2,0,37.77
Super built-up  Area,1,Old Madras Road,11719,1,Saesttt,448249,6959,2,2,73
Super built-up  Area,2,Singasandra,11720,3,,450613,9037,2,3,60
Super built-up  Area,2,Budigere,11721,5,PrityTr,447997,3664,3,2,95
Super built-up  Area,1,Raja Rajeshwari Nagar,11722,3,GrrvaGr,361041,3643,2,2,66.85
Super built-up  Area,2,Whitefield,11723,2,SMuilan,418696,5152,2,2,46.29
Super built-up  Area,1,Hennur Road,11724,2,Mileeou,416151,2692,2,1,89.56
Super built-up  Area,1,Gollahalli,11725,3,Meines ,382854,3559,2,1,39
Super built-up  Area,1,Anjappa Layout,11726,5,,390096,3410,2,1,50
Super built-up  Area,1,Kanakpura Road,11727,1,PrarePa,370092,3253,3,2,53
Super built-up  Area,2,Kothanur,11728,4,,406618,981,2,2,56
Built-up  Area,1,Rachenahalli,11729,2,NRniad ,436525,6934,3,2,160
Super built-up  Area,2,Shikaripalya,11730,5,ALtonea,378295,2868,3,2,59.75
Super built-up  Area,2,AGS Layout,11731,2,,446598,8408,2,1,46
Super built-up  Area,2,Jakkur,11732,3,HRaniIb,409338,2438,2,1,85
Super built-up  Area,1,Kathriguppe,11733,1,Prone M,402133,9072,3,2,80.99
Super built-up  Area,2,Prithvi Layout,11734,4,Prigh L,439363,9414,4,0,500
Super built-up  Area,1,CV Raman Nagar,11735,2,Pu270a ,374950,9623,4,2,166
Super built-up  Area,1,Hoodi,11736,4,GoAirej,457960,5849,3,2,128
Plot  Area,1,Kogilu,11737,1,,381967,4119,7,2,85
Super built-up  Area,2,Chamrajpet,11738,5,,390271,620,2,2,45
Plot  Area,1,Neeladri Nagar,11739,5,Coleyli,397268,7101,5,2,425
Super built-up  Area,2,Malleshwaram,11740,1,Sariaat,415758,4984,4,3,340
Super built-up  Area,1,Chikkakannalli,11741,5,,430842,1488,3,2,90
Super built-up  Area,2,R.T. Nagar,11742,4,Esncyth,369736,3326,2,1,48
Super built-up  Area,2,Electronic City,11743,4,Elodsre,384364,611,2,2,57.5
Built-up  Area,2,Aishwarya Crystal Layout,11744,1,GRvasth,413946,6941,2,0,51
Super built-up  Area,1,Binny Pete,11745,4,Shestlo,375458,7988,5,2,289
Plot  Area,2,Kanakpura Road,11746,2,,419628,9976,5,3,115
Super built-up  Area,2,7th Phase JP Nagar,11747,5,,396150,1775,2,1,42
Super built-up  Area,2,Thanisandra,11748,5,MenueNo,380266,8734,2,2,51.48
Built-up  Area,2,Begur,11749,4,SrSaira,405765,2164,3,2,12
Super built-up  Area,2,OLd Gurappanapalya,11750,3,,446598,1525,3,2,39
Plot  Area,1,Ramanagara Channapatna,11751,2,,373948,4805,2,1,75
Built-up  Area,1,Ulsoor,11752,2,,456667,1723,1,1,150
Super built-up  Area,1,Uttarahalli,11753,5,SBiewid,411000,3302,2,2,39.5
Super built-up  Area,2,Bannerghatta Road,11754,4,Guranya,418648,7038,3,3,68
Super built-up  Area,1,Kammasandra,11755,4,Pre 1ri,453166,6831,2,1,40.5
Super built-up  Area,2,BTM 2nd Stage,11756,4,Chaldi ,405224,2948,2,2,70
Built-up  Area,2,Ambalipura,11757,1,,432253,1664,3,3,100
Super built-up  Area,2,Mico Layout,11758,5,Amsomun,367562,4142,3,2,59
Super built-up  Area,2,5th Block Hbr Layout,11759,4,,405332,9060,5,,205
Plot  Area,1,Sarjapur  Road,11760,5,Saacesa,395666,8404,4,0,110
Built-up  Area,1,Maheswari Nagar,11761,4,AsensGa,407699,5494,2,2,60
Super built-up  Area,2,Doddabanahalli,11762,3,,438621,7501,2,2,26
Plot  Area,2,Ramagondanahalli,11763,5,,456040,6559,3,1,56.1
Plot  Area,2,Sadashiva Nagar,11764,4,,439436,7180,7,2,2736
Super built-up  Area,1,Begur Road,11765,1,Pruthg ,415992,7067,6,0,122.5
Super built-up  Area,2,Haralur Road,11766,5,RInceeg,399814,966,2,2,43
Super built-up  Area,1,Nagarbhavi,11767,5,Deens G,432976,5144,3,3,85
Built-up  Area,1,HSR Layout,11768,4,,393967,3632,2,1,70
Plot  Area,2,Kamakya Layout,11769,3,,451177,1990,6,3,200
Super built-up  Area,1,Sector 7 HSR Layout,11770,3,Saitya ,367439,8636,3,2,185
Super built-up  Area,1,Harlur,11771,5,SrEndPo,403677,4670,3,2,110
Super built-up  Area,1,Hennur Road,11772,3,Koagati,425602,7301,2,1,50.74
Super built-up  Area,2,Kundalahalli,11773,1,Dieldli,376245,8818,3,1,146
Super built-up  Area,2,Banashankari,11774,1,,403128,6857,2,2,40.79
Plot  Area,2,Hsr layout sector3,11775,2,,452733,958,4,3,375
Super built-up  Area,1,Electronic City,11776,4,,440867,5085,1,1,35
Super built-up  Area,2,Kambipura,11777,2,Prrtht ,429282,845,2,1,49
Built-up  Area,1,Thyagraj Nagar,11778,4,,393409,5967,2,0,76
Super built-up  Area,1,Ramagondanahalli,11779,4,DNeremo,454875,9780,5,2,220
Built-up  Area,1,Devasthanagalu,11780,5,Grmes L,366548,5783,2,3,60
Super built-up  Area,1,Electronics City Phase 1,11781,5,DSrry S,386648,5318,2,1,24.95
Built-up  Area,2,"Sarjapur Road, ",11782,2,,439921,1355,2,1,76
Super built-up  Area,1,Kothanur,11783,2,Somumys,386914,5956,3,2,120
Built-up  Area,1,8th Phase JP Nagar,11784,5,,442503,5650,5,2,75
Super built-up  Area,2,Sarjapur  Road,11785,3,Adeatlm,398835,3292,2,2,110
Super built-up  Area,2,Yeshwanthpur,11786,3,Aroomba,454648,8712,3,3,108
Super built-up  Area,1,Bannerghatta Road,11787,2,SNity S,363992,8251,3,2,69
Super built-up  Area,2,Sarjapur  Road,11788,5,,389938,9610,2,1,50
Super built-up  Area,1,Whitefield,11789,1,Sparam ,416974,4408,2,2,56
Super built-up  Area,1,Thirumenahalli,11790,5,MNtha A,390466,5283,3,2,56
Built-up  Area,2,"Hoodi Circle, ",11791,1,,419444,2461,1,1,40
Super built-up  Area,2,GM Palaya,11792,1,Srg Bnc,460695,1672,1,1,35
Built-up  Area,1,Chikka Tirupathi,11793,4,Theanmp,439313,1584,4,2,136
Super built-up  Area,1,Whitefield,11794,4,Prarat ,364610,3762,2,3,43
Built-up  Area,1,Jalahalli East,11795,3,Srigmsw,425430,2076,2,1,42.5
Super built-up  Area,1,Sarjapur  Road,11796,4,MJinele,456680,6793,2,2,44
Super built-up  Area,2,Sarjapur  Road,11797,5,Saitya ,393607,5958,3,2,128
Built-up  Area,1,Green Glen Layout,11798,5,Prodsm ,367326,914,3,2,70
Super built-up  Area,1,Electronics City Phase 1,11799,1,DSsicky,367731,8681,2,1,31.99
Super built-up  Area,2,Whitefield,11800,1,Asarqz ,406209,1960,2,1,71.81
Super built-up  Area,1,Kothnoor Dinne,11801,2,,372191,5062,2,2,38
Built-up  Area,2,Kundalahalli,11802,1,,393549,8052,3,2,50
Built-up  Area,1,Electronic City Phase II,11803,1,Sryalan,422201,5020,2,1,32.63
Super built-up  Area,2,Chikka Banaswadi,11804,1,MSadeed,362571,7431,3,3,73
Super built-up  Area,2,Amruthahalli,11805,3,Srncy R,371190,4993,2,1,42
Super built-up  Area,2,Hennur Road,11806,5,Puachal,446331,7084,2,1,83.73
Super built-up  Area,1,Banagirinagar,11807,2,,385499,7175,2,2,130
Super built-up  Area,1,Arekere,11808,2,Prdowth,393162,7071,2,1,44.5
Super built-up  Area,2,Yelahanka,11809,2,Rarthne,459495,6233,2,3,75
Plot  Area,1,1st Block Koramangala,11810,1,,387823,5853,4,2,601
Built-up  Area,2,Akshaya Nagar,11811,2,,400145,8653,2,2,45
Super built-up  Area,2,Suraksha Nagar,11812,5,AritaFe,378451,2777,3,2,63
Plot  Area,2,Medaralli,11813,4,,373617,8662,4,1,84
Super built-up  Area,2,6th block Koramangala,11814,5,,402635,6685,3,2,400
Super built-up  Area,1,5th Phase JP Nagar,11815,4,,377630,2995,2,1,42
Built-up  Area,2,Basaveshwara Nagar,11816,5,,388187,5448,2,1,70
Super built-up  Area,2,Yelahanka,11817,4,,427653,8762,4,1,156
Super built-up  Area,1,Marathahalli,11818,5,Prionad,452212,2064,2,1,101
Super built-up  Area,2,Hegde Nagar,11819,4,Golmsn ,393245,8183,3,3,88
Built-up  Area,1,Rachenahalli,11820,3,NRodsen,405630,6626,3,2,110
Super built-up  Area,2,8th Phase JP Nagar,11821,3,MBodsen,412910,8150,2,2,51.83
Super built-up  Area,1,Haralur Road,11822,1,NDionas,375512,3535,2,1,75
Super built-up  Area,2,Anandapura,11823,1,ViensRK,375094,8503,2,1,50
Super built-up  Area,1,Poorna Pragna Layout,11824,4,,417851,2187,2,2,50.79
Built-up  Area,2,Electronic City,11825,2,DSgmax ,453182,4432,2,1,55
Super built-up  Area,1,Hormavu,11826,2,Savar S,373112,9533,2,2,67
Plot  Area,2,Ejipura,11827,2,,424266,7369,5,2,139
Super built-up  Area,2,Magadi Road,11828,1,Vrenty ,450894,6080,2,0,55.195
Super built-up  Area,1,Gubbalala,11829,1,MauilTr,421591,4324,3,2,140
Plot  Area,2,KR Puram,11830,5,,418876,7429,5,1,125
Super built-up  Area,1,Raja Rajeshwari Nagar,11831,3,,428532,2643,2,2,37
Plot  Area,1,Banashankari,11832,4,,446514,5263,4,3,500
Super built-up  Area,2,Electronic City Phase II,11833,1,Sryalan,457856,5033,2,1,34
Super built-up  Area,1,Varthur,11834,1,Vaensia,431107,1384,2,2,54
Super built-up  Area,2,Kasavanhalli,11835,4,,365870,7323,3,2,142
Super built-up  Area,1,Sarjapur,11836,1,DSousyl,393988,2469,1,1,17.09
Built-up  Area,2,Amruthahalli,11837,5,Prowsi ,393815,7405,1,1,19.5
Super built-up  Area,1,Varthur,11838,4,DSingSt,397420,5133,2,2,40
Plot  Area,1,Ullal Uppanagar,11839,2,,392863,4215,2,0,82
Super built-up  Area,1,Sarjapur  Road,11840,2,Adeatlm,373879,6752,4,2,187
Super built-up  Area,1,Doddanakundi Industrial Area 2,11841,2,BrlonAv,383775,6055,3,2,85
Super built-up  Area,2,Sri Sai Layout,11842,1,,393583,2236,2,,42.4
Built-up  Area,2,Versova Layout,11843,2,,422200,5743,3,3,270
Super built-up  Area,1,Kundalahalli,11844,4,Dieldli,376540,4248,2,2,91
Super built-up  Area,2,Thanisandra,11845,5,Soitya ,393780,4233,4,2,117
Plot  Area,1,Malleshpalya,11846,1,,399342,1604,3,2,149
Super built-up  Area,2,Bannerghatta Road,11847,4,SNity S,395735,7184,2,1,58
Super built-up  Area,2,JP Nagar,11848,3,Brwernn,450361,9138,2,1,108
Built-up  Area,2,Chikkajala,11849,4,,401667,6562,1,0,50
Built-up  Area,1,Bommasandra Industrial Area,11850,1,,441033,8799,2,1,32.49
Built-up  Area,2,Tindlu,11851,3,,409297,8334,2,2,59.8
Built-up  Area,2,Maruthi Sevanagar,11852,4,,381677,3755,2,0,55
Super built-up  Area,2,Hennur Road,11853,2,Maity W,434571,2032,2,1,77
Super built-up  Area,2,Billekahalli,11854,1,Asity S,425312,5864,2,1,65
Super built-up  Area,1,BSM Extension,11855,1,Raave E,384205,6019,2,2,33
Super built-up  Area,2,Jigani,11856,1,DLhtsen,381663,2663,3,3,66
Super built-up  Area,2,Kalyan nagar,11857,3,,389973,3559,2,3,300
Super built-up  Area,2,Udayagiri,11858,5,Ozquaba,416142,3180,2,2,60
Built-up  Area,2,AECS Layout,11859,2,Concyvi,382275,4461,3,1,90
Super built-up  Area,1,Hosa Road,11860,3,Skume R,451503,2575,1,1,43.68
Super built-up  Area,2,Kundalahalli,11861,5,Dieldli,377788,2886,3,2,128
Plot  Area,1,Madiwala,11862,2,,389786,8873,1,1,75
Super built-up  Area,1,Sarjapur  Road,11863,1,Shthi S,460267,4580,2,1,54
Super built-up  Area,2,Madiwala,11864,5,,382791,6361,3,2,39.5
Super built-up  Area,1,Jakkur,11865,4,ArndsSk,447351,3585,3,2,72
Super built-up  Area,2,Shankarapuram,11866,4,,460714,5733,2,1,80
Super built-up  Area,1,7th Phase JP Nagar,11867,3,,446403,4244,2,2,50
Plot  Area,1,TC Palaya,11868,1,,390826,6407,2,0,66
Super built-up  Area,2,Kothanur,11869,5,,404509,3567,2,2,59
Super built-up  Area,1,Kadubeesanahalli,11870,1,,382570,2212,2,1,78
Super built-up  Area,2,Ambedkar Nagar,11871,5,SoechHa,370205,7974,4,2,120
Super built-up  Area,1,Yelahanka,11872,1,Pyikad ,440235,9696,3,2,125
Built-up  Area,1,Kumaraswami Layout,11873,1,,413228,602,4,2,300
Super built-up  Area,2,Chandapura,11874,1,SuVue S,454482,1565,1,1,14.04
Built-up  Area,2,Doddakannelli,11875,5,Jyavet ,397097,9287,2,1,48
Built-up  Area,2,Whitefield,11876,2,,447923,4195,2,1,72
Super built-up  Area,2,Sarjapur  Road,11877,4,,432332,3446,2,2,60.8
Super built-up  Area,1,Sarjapur  Road,11878,2,Adeatlm,417053,2278,4,3,300
Built-up  Area,2,Kodichikkanahalli,11879,3,,426251,3666,4,2,125
Super built-up  Area,2,Begur,11880,2,Arera V,408580,9228,2,2,60
Super built-up  Area,1,Kanakpura Road,11881,5,SPthara,379154,4379,2,1,39.6
Built-up  Area,2,Bannerghatta,11882,1,Srentea,369003,9678,2,0,50
Plot  Area,2,OMBR Layout,11883,2,,384093,4696,4,2,110
Super built-up  Area,1,Kalena Agrahara,11884,5,Prillot,406412,6142,3,2,155
Super built-up  Area,2,HSR Layout,11885,3,NRosete,424997,2307,2,2,46
Plot  Area,2,Banjara Layout,11886,3,,414281,9714,4,1,105
Super built-up  Area,1,Hebbal,11887,5,Prersis,368105,3476,4,2,189
Plot  Area,1,Chamundi Nagar,11888,5,,428255,2501,3,2,120
Plot  Area,2,Wilson Garden,11889,5,,409394,4974,5,2,130
Super built-up  Area,2,TC Palaya,11890,2,,450232,2814,2,2,55
Super built-up  Area,2,Thanisandra,11891,3,Bhmesy ,368366,788,2,1,54
Super built-up  Area,1,Lingadheeranahalli,11892,2,Soiewre,409895,8888,3,1,120
Super built-up  Area,1,Hennur Road,11893,2,MItatHa,431255,6211,3,2,86
Super built-up  Area,2,Panathur,11894,5,Saite G,385078,4168,2,2,60
Plot  Area,1,Sarjapur,11895,3,PulokPu,444930,3399,5,2,95
Super built-up  Area,1,HOSUR MAIN ROAD,11896,4,,435076,2284,3,2,56
Super built-up  Area,2,Hebbal,11897,5,Mahosya,431545,4749,2,1,99.26
Super built-up  Area,2,Nagashetty Halli,11898,3,,408110,3739,2,0,40
Super built-up  Area,2,Yeshwanthpur,11899,2,IBityin,432562,8855,2,2,64.08
Super built-up  Area,2,Devanahalli,11900,1,Cerdsga,411091,9192,2,1,62
Super built-up  Area,1,Kengeri,11901,1,,433031,8761,2,2,40.6
Built-up  Area,1,Shampura,11902,5,,448637,5427,5,3,95
Super built-up  Area,1,Mysore Road,11903,2,Brama P,370024,6786,3,2,70
Super built-up  Area,1,Domlur,11904,3,,393256,709,3,1,180
Super built-up  Area,1,Venkatapura,11905,1,,397488,5892,3,2,46
Super built-up  Area,1,Electronic City Phase II,11906,4,Sryalan,379456,5588,2,1,37.84
Built-up  Area,1,RMV,11907,5,,382035,3926,5,2,550
Super built-up  Area,2,Bhoopsandra,11908,4,E onsg ,369760,508,3,0,170
Built-up  Area,2,5th Block Hbr Layout,11909,4,,362886,3578,5,3,300
Super built-up  Area,1,Kanakpura Road,11910,5,,410223,7419,2,3,69
Plot  Area,2,Kadugodi,11911,4,,384713,8238,2,1,110
Super built-up  Area,1,Hulimavu,11912,5,,383545,1202,2,1,82
Built-up  Area,1,Kengeri,11913,2,,418228,2409,4,3,100
Super built-up  Area,1,Begur Road,11914,4,,422233,9874,2,1,64
Super built-up  Area,2,Sarjapur  Road,11915,5,Usquaya,408291,8983,2,2,45.5
Plot  Area,1,Postal Colony,11916,2,,361979,4975,1,0,218
Built-up  Area,1,Electronic City,11917,3,GMown E,404068,3777,2,1,60
Super built-up  Area,2,Begur,11918,5,Prorath,447776,1040,2,1,40
Built-up  Area,1,Kanakpura Road,11919,5,SoestSu,428566,8141,3,3,105
Super built-up  Area,2,Malleshwaram,11920,5,,396610,8874,2,1,190
Plot  Area,2,Varthur,11921,4,,410080,1710,4,3,175
Super built-up  Area,1,ITPL,11922,1,Toodyit,383282,5023,5,0,300
Built-up  Area,1,Sarjapur  Road,11923,4,,375284,1230,2,2,70
Super built-up  Area,1,pavitra paradise,11924,1,,396171,3948,2,1,190
Plot  Area,2,Hegde Nagar,11925,3,Sotosty,411998,1234,5,2,450
Plot  Area,2,Shampura,11926,3,,396057,1602,6,3,105
Plot  Area,1,Vidyaranyapura,11927,4,,382804,3023,7,3,375
Plot  Area,1,Kanakpura Road,11928,4,,371411,3527,2,0,62
Super built-up  Area,2,Marathahalli,11929,3,,430166,5886,2,1,50.18
Built-up  Area,1,Hulimavu,11930,5,,447449,5905,1,1,20
Super built-up  Area,1,KR Puram,11931,4,LVniaar,439492,7463,2,1,45.79
Super built-up  Area,1,Jakkur Plantation,11932,4,Reicace,434089,4721,2,3,87
Built-up  Area,2,Anekal,11933,5,,377514,7498,1,1,12.5
Built-up  Area,1,Doddakallasandra,11934,2,,403208,4967,2,2,42
Super built-up  Area,1,Anekal,11935,3,,384029,6001,1,1,28
Plot  Area,2,Margondanahalli,11936,5,,383327,9760,2,0,58
Super built-up  Area,2,Yelahanka,11937,2,Juclend,456360,5126,2,2,58
Super built-up  Area,2,Subramanyapura,11938,4,,458413,3468,2,2,42.81
Built-up  Area,1,Reliaable Tranquil Layout,11939,1,Sariana,391303,5483,3,1,80
Super built-up  Area,2,kadubisnahalli,11940,2,,433118,2146,2,2,57
Plot  Area,2,Kithaganur,11941,5,,388504,3477,3,1,70
Built-up  Area,2,Poorna Pragna Layout,11942,2,Pathira,397964,6442,2,3,50
Super built-up  Area,1,NGR Layout,11943,5,BSian M,439422,2377,2,2,46
Super built-up  Area,2,Hegde Nagar,11944,4,SoisoCa,421105,3113,4,2,129
Super built-up  Area,2,Channasandra,11945,4,Unm 2El,427780,5361,2,1,36
Super built-up  Area,1,Attibele,11946,2,Jae 2hu,436678,3028,1,1,10.25
Super built-up  Area,1,Bannerghatta Road,11947,4,SNity S,412846,7216,2,1,75
Super built-up  Area,1,Kanakpura Road,11948,2,PrarePa,422025,3597,2,1,41
Super built-up  Area,1,Marathahalli,11949,4,Vaoodar,389230,5888,3,2,95
Super built-up  Area,1,Amblipura,11950,3,IDldsin,450153,9422,2,2,83
Super built-up  Area,2,Lavelle Road,11951,5,,402147,8036,4,,900
Plot  Area,1,Vijayanagar,11952,2,,397301,7850,4,1,360
Super built-up  Area,2,Sanjay nagar,11953,2,BSiumly,447642,2379,2,0,59
Built-up  Area,2,Electronic City Phase II,11954,5,Sryalan,426246,6593,2,2,40.43
Super built-up  Area,1,Indira Nagar,11955,2,Goyalir,423242,7837,3,1,150
